Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
10-Dec-24,Tuesday,December,Q4,2024,EQ,1939.00,1965.60,1932.00,1923.65,1947.10,1948.55,1947.08,1991.45,1358.35,6174921.00,219707.00
09-Dec-24,Monday,December,Q4,2024,EQ,1924.20,1930.20,1897.20,1922.40,1926.95,1923.65,1912.43,1991.45,1358.35,4274645.00,169220.00
06-Dec-24,Friday,December,Q4,2024,EQ,1932.80,1937.95,1912.40,1934.85,1919.00,1922.40,1921.54,1991.45,1358.35,3573331.00,133773.00
05-Dec-24,Thursday,December,Q4,2024,EQ,1900.00,1949.90,1888.95,1889.25,1935.00,1934.85,1925.05,1991.45,1358.35,9050038.00,300510.00
04-Dec-24,Wednesday,December,Q4,2024,EQ,1884.00,1913.95,1875.00,1892.10,1892.00,1889.25,1895.14,1991.45,1358.35,4705573.00,215259.00
03-Dec-24,Tuesday,December,Q4,2024,EQ,1887.00,1899.75,1871.15,1879.80,1890.00,1892.10,1891.36,1991.45,1358.35,4715792.00,165988.00
02-Dec-24,Monday,December,Q4,2024,EQ,1859.00,1882.80,1835.20,1857.85,1877.45,1879.80,1868.92,1991.45,1358.35,2868263.00,143774.00
29-Nov-24,Friday,November,Q4,2024,EQ,1851.10,1877.00,1845.00,1856.65,1856.95,1857.85,1859.93,1991.45,1358.35,5244346.00,217020.00
28-Nov-24,Thursday,November,Q4,2024,EQ,1914.90,1914.90,1851.65,1924.50,1860.30,1856.65,1869.78,1991.45,1358.35,8468790.00,284687.00
27-Nov-24,Wednesday,November,Q4,2024,EQ,1930.10,1941.40,1911.75,1924.15,1927.00,1924.50,1926.81,1991.45,1358.35,4447143.00,146524.00
26-Nov-24,Tuesday,November,Q4,2024,EQ,1904.95,1938.60,1897.30,1889.70,1920.20,1924.15,1926.35,1991.45,1358.35,6850495.00,312960.00
25-Nov-24,Monday,November,Q4,2024,EQ,1916.00,1919.30,1882.00,1902.25,1891.00,1889.70,1890.66,1991.45,1358.35,12764638.00,196770.00
22-Nov-24,Friday,November,Q4,2024,EQ,1854.10,1914.05,1834.00,1834.05,1889.20,1902.25,1880.71,1991.45,1358.35,6301486.00,185473.00
21-Nov-24,Thursday,November,Q4,2024,EQ,1842.00,1867.00,1820.60,1824.75,1834.00,1834.05,1836.76,1991.45,1358.35,5436504.00,232740.00
19-Nov-24,Tuesday,November,Q4,2024,EQ,1825.50,1859.70,1820.55,1811.45,1822.50,1824.75,1839.98,1991.45,1358.35,4669769.00,142990.00
18-Nov-24,Monday,November,Q4,2024,EQ,1849.20,1849.20,1795.00,1864.55,1815.05,1811.45,1813.82,1991.45,1358.35,4839244.00,207559.00
14-Nov-24,Thursday,November,Q4,2024,EQ,1865.60,1876.00,1856.00,1868.40,1865.00,1864.55,1865.97,1991.45,1358.35,4311431.00,206703.00
